axis	band	kind	key	en	ru	es	fr	ar
EI	I_41-60	description	EI.I_41-60.dim.3	Some people perceive them as withdrawn or shy.	Часть людей считает его замкнутым, застенчивым.	Algunas personas lo perciben como reservado o tímido.	Certaines personnes le perçoivent comme renfermé ou timide.	يراه بعض الناس شخصًا منعزلًا أو خجولًا.
EI	I_41-60	description	EI.I_41-60.dim.4	Dislikes being interrupted while speaking and does not interrupt others; will decline incoming calls during a conversation.	Не любит, чтобы его прерывали, когда говорит, и сам не прерывает говорящего; во время беседы отклонит входящий звонок.	No le gusta que lo interrumpan mientras habla y no interrumpe a los demás; rechazará llamadas entrantes durante una conversación.	N'aime pas être interrompu lorsqu'il parle et n'interrompt pas les autres ; refusera les appels entrants durant une conversation.	لا يحب أن يُقاطَع أثناء الحديث ولا يقاطع الآخرين، ويرفض المكالمات الواردة خلال المحادثات.
EI	I_41-60	description	EI.I_41-60.dim.5	Dislikes meetings, feels emotionally drained by them, rarely speaks up, and needs rest afterward.	Не любит собрания, эмоционально разряжается, редко выступает, требуется отдых после собрания.	No le gustan las reuniones, se siente emocionalmente agotado por ellas, rara vez interviene y necesita descansar después.	N'aime pas les réunions, s'y sent émotionnellement épuisé, prend rarement la parole et a besoin de repos après.	لا يحب الاجتماعات، يشعر باستنزاف عاطفي فيها، ونادرًا ما يتحدث، ويحتاج إلى راحة بعدها.
EI	I_41-60	description	EI.I_41-60.dim.6	Shares thoughts and ideas with others only when directly asked.	Делится своими мыслями и идеями с окружающими только если получит прямой вопрос.	Comparte sus pensamientos e ideas con los demás solo cuando se le pregunta directamente.	Ne partage ses pensées et idées avec les autres que lorsqu'on le lui demande directement.	لا يشارك أفكاره وآراءه مع الآخرين إلا إذا سُئل عنها مباشرةً.
EI	I_41-60	description	EI.I_41-60.dim.7	Prefers listening over talking in conversations and rarely initiates them.	В разговоре больше предпочитает слушать, чем говорить, инициатором разговоров предпочитает не выступать.	Prefiere escuchar antes que hablar en las conversaciones y rara vez las inicia.	Préfère écouter plutôt que parler dans les conversations et prend rarement l'initiative de les engager.	يفضل الاستماع على الكلام في المحادثات، ونادرًا ما يبادر إلى بدئها.
EI	I_41-60	description	EI.I_41-60.dim.8	Prefers silence and solitude when thinking things through.	Для обдумывания предпочитает тишину и одиночество.	Prefiere el silencio y la soledad para reflexionar.	Préfère le silence et la solitude pour réfléchir.	يفضل الصمت والعزلة عند التفكير والتأمل.
EI	I_41-60	description	EI.I_41-60.dim.9	Is skeptical of people who are overly generous with compliments.	С подозрением относится к людям, которые слишком щедры на комплименты.	Desconfía de las personas que son demasiado generosas con los cumplidos.	Se méfie des personnes qui sont trop généreuses en compliments.	يتشكك في الأشخاص الذين يبالغون في المديح والإطراء.
EI	I_61-80	band-label	EI.I_61-80.label	Strong Introvert	Сильный Интроверт	Introvertido Fuerte	Introverti Prononcé	انطوائي قوي
EI	I_61-80	description	EI.I_61-80.dim.0	Always pauses before responding and expects the same from others.	Обязательно возьмёт паузу перед ответом и от других требует того же.	Siempre hace una pausa antes de responder y espera lo mismo de los demás.	Marque toujours une pause avant de répondre et attend la même chose des autres.	يتوقف دائمًا قبل الإجابة ويتوقع الأمر ذاته من الآخرين.
EI	I_61-80	description	EI.I_61-80.dim.1	Prefers spending time alone over any social gathering; has very few close friends.	Любой компании предпочтёт провести время одному, мало друзей.	Prefiere pasar el tiempo a solas antes que en cualquier reunión social; tiene muy pocos amigos cercanos.	Préfère passer du temps seul plutôt qu'en compagnie ; a très peu d'amis proches.	يفضل قضاء وقته بمفرده على أي تجمع اجتماعي، ولديه عدد قليل جدًا من الأصدقاء المقربين.
EI	I_61-80	description	EI.I_61-80.dim.2	If a situation displeases them, they won't show it and will instead try to adjust their own attitude toward it.	Если ситуация его не устраивает, то не подаст виду и постарается изменить своё отношение к ситуации.	Si una situación no le agrada, no lo mostrará e intentará cambiar su propia actitud hacia ella.	Si une situation lui déplaît, il n'en montrera rien et cherchera plutôt à changer son propre rapport à cette situation.	إذا لم تعجبه الأوضاع، فلن يُظهر ذلك، وسيسعى بدلًا من ذلك إلى تغيير موقفه الداخلي منها.
EI	I_61-80	description	EI.I_61-80.dim.3	Many people perceive them as withdrawn, shy, or even secretive.	Многие люди считают его замкнутым, застенчивым и даже скрытным.	Muchas personas lo perciben como reservado, tímido e incluso hermético.	Beaucoup de personnes le perçoivent comme renfermé, timide, voire secret.	يراه كثير من الناس شخصًا منعزلًا وخجولًا، بل وكتومًا.
EI	I_61-80	description	EI.I_61-80.dim.4	When speaking, they expect not to be interrupted and never interrupt others; gets irritated if the other person is distracted by an incoming call.	Когда говорит, то требует не прерывать его и сам никогда не прерывает других; раздражается, если его собеседник отвлекается на входящий звонок.	Cuando habla, espera no ser interrumpido y nunca interrumpe a los demás; se irrita si su interlocutor se distrae con una llamada entrante.	Lorsqu'il parle, il s'attend à ne pas être interrompu et n'interrompt jamais les autres ; il s'irrite si son interlocuteur est distrait par un appel entrant.	حين يتحدث، يتوقع ألا يُقاطَع ولا يقاطع الآخرين أبدًا؛ ويضايقه أن ينشغل محدثه بمكالمة واردة.
EI	I_61-80	description	EI.I_61-80.dim.5	Avoids meetings, sees them as a waste of time, does not speak up in them, and needs solitude and rest afterward.	Избегает собраний, считает пустой тратой времени, не выступает на них, после требуется уединение и перезарядка.	Evita las reuniones, las considera una pérdida de tiempo, no toma la palabra en ellas y necesita soledad y descanso después.	Évite les réunions, les considère comme une perte de temps, n'y prend pas la parole et a besoin de solitude et de recharge après.	يتجنب الاجتماعات ويعتبرها مضيعة للوقت، ولا يتكلم فيها، ويحتاج بعدها إلى عزلة واسترداد للطاقة.
EI	I_61-80	description	EI.I_61-80.dim.6	Rarely shares their thoughts and ideas with those around them.	Редко делится своими мыслями и идеями с окружающими.	Rara vez comparte sus pensamientos e ideas con quienes lo rodean.	Partage rarement ses pensées et ses idées avec son entourage.	نادرًا ما يشارك أفكاره وآراءه مع من حوله.
EI	I_61-80	description	EI.I_61-80.dim.7	If there is any opportunity to avoid joining a conversation, they will take it and will never initiate one themselves.	Если есть возможность избежать участия в разговоре, то воспользуется этой возможностью, сам не будет выступать инициатором разговора.	Si hay alguna oportunidad de evitar participar en una conversación, la aprovechará y nunca tomará la iniciativa de iniciar una.	S'il peut éviter de participer à une conversation, il saisira cette occasion et ne prendra jamais l'initiative d'en engager une.	إن أتيحت له فرصة تجنب الانخراط في محادثة، انتهزها ولا يبادر أبدًا إلى بدء الحديث بنفسه.
EI	I_61-80	description	EI.I_61-80.dim.8	During periods of reflection, they can withdraw into themselves for quite a long time.	Во время размышлений может уходить в себя на достаточно продолжительное время.	Durante los momentos de reflexión, puede ensimismarse durante un tiempo bastante prolongado.	Lors de ses moments de réflexion, il peut se replier sur lui-même pendant un temps assez long.	قد يغرق في تأملاته الداخلية لفترات مطولة نسبيًا.
EI	I_61-80	description	EI.I_61-80.dim.9	Receiving an excessive number of compliments makes them uneasy and suspicious of the person giving them.	Большое количество комплиментов в его адрес вызывает озабоченность и недоверие к собеседнику.	Recibir un número excesivo de cumplidos le genera incomodidad y desconfianza hacia quien los hace.	Recevoir un trop grand nombre de compliments le rend méfiant et l'inquiète quant aux intentions de son interlocuteur.	تلقّي قدر مفرط من المجاملات يثير لديه القلق والريبة تجاه الشخص الذي يُبدي له هذا الإطراء.
EI	I_81-100	band-label	EI.I_81-100.label	Maximum Introvert	Максимальный Интроверт	Introvertido Máximo	Introverti Maximum	انطوائي أقصى
EI	I_81-100	description	EI.I_81-100.dim.0	Takes a long time to formulate responses and tends to view quick answers from others as inherently incorrect.	Долго думает перед ответом, быстрые ответы других считает заведомо неправильными.	Se toma mucho tiempo para formular respuestas y tiende a considerar que las respuestas rápidas de los demás son inherentemente incorrectas.	Prend beaucoup de temps pour formuler ses réponses et a tendance à considérer les réponses rapides des autres comme forcément incorrectes.	يستغرق وقتاً طويلاً في صياغة إجاباته، ويميل إلى اعتبار الردود السريعة من الآخرين خاطئة بطبيعتها.
EI	I_81-100	description	EI.I_81-100.dim.1	Actively avoids spending time in social groups and has very few friends or none at all.	Всеми силами избегает проводить время в компаниях, минимальное количество друзей или нет их вовсе.	Evita activamente pasar tiempo en grupos sociales y tiene muy pocos amigos o ninguno en absoluto.	Évite activement de passer du temps en groupe et a très peu d'amis, voire aucun.	يتجنب بنشاط قضاء الوقت في المجموعات الاجتماعية، ولديه عدد قليل جداً من الأصدقاء أو لا أصدقاء له على الإطلاق.
EI	I_81-100	description	EI.I_81-100.dim.2	When dissatisfied with a situation, never speaks up or shows it, and instead tries hard to adapt.	Если ситуация его не устраивает, никогда не скажет и не подаст виду, всеми силами попытается подстроиться.	Cuando está insatisfecho con una situación, nunca lo expresa ni lo muestra, sino que intenta adaptarse con todas sus fuerzas.	Lorsqu'une situation ne lui convient pas, il ne le dit jamais et n'en laisse rien paraître, préférant s'adapter à tout prix.	عندما لا يكون راضياً عن موقف ما، لا يعبّر عن ذلك ولا يُظهره أبداً، بل يحاول التكيّف بكل ما أوتي من قوة.
EI	I_81-100	description	EI.I_81-100.dim.3	Most people perceive them as withdrawn, shy, and even secretive.	Большинство людей считают его замкнутым, застенчивым и даже скрытным.	La mayoría de las personas lo perciben como reservado, tímido e incluso hermético.	La plupart des gens le perçoivent comme renfermé, timide et même secret.	يراه معظم الناس شخصاً منعزلاً وخجولاً وحتى كتوماً.
EI	I_81-100	description	EI.I_81-100.dim.4	If interrupted during a conversation, may feel offended and stop engaging; often puts their phone on silent during discussions.	Если кто-то прервёт его речь, то может обидеться и не станет продолжать беседу; телефон во время беседы часто ставит на беззвучный режим.	Si alguien lo interrumpe durante una conversación, puede sentirse ofendido y dejar de participar; con frecuencia pone el teléfono en silencio durante las conversaciones.	Si quelqu'un l'interrompt pendant une conversation, il peut se sentir blessé et cesser d'y participer ; il met souvent son téléphone en mode silencieux lors des échanges.	إذا قاطعه أحد أثناء الحديث، قد يشعر بالإهانة ويتوقف عن المشاركة؛ وكثيراً ما يضع هاتفه على وضع الصامت خلال المحادثات.
EI	I_81-100	description	EI.I_81-100.dim.5	Strongly avoids meetings, which drain and exhaust them emotionally; significant recovery time is needed afterward.	Всячески избегает собраний, они его изматывают и опустошают; после собрания требуется серьёзное время на эмоциональное восстановление.	Evita activamente las reuniones, que lo agotan emocional y mentalmente; necesita un tiempo considerable para recuperarse después.	Évite à tout prix les réunions, qui l'épuisent et le vident émotionnellement ; un temps de récupération important est nécessaire après chacune d'elles.	يتجنب الاجتماعات بشدة لأنها تُنهكه وتستنزفه عاطفياً، ويحتاج بعدها إلى وقت طويل للتعافي.
EI	I_81-100	description	EI.I_81-100.dim.6	Avoids sharing their thoughts and ideas, preferring to keep everything to themselves.	Избегает рассказывать о своих мыслях и идеях, предпочитает всё держать в себе.	Evita compartir sus pensamientos e ideas, prefiriendo guardárselo todo para sí mismo.	Évite de partager ses pensées et ses idées, préférant tout garder pour lui-même.	يتحاشى مشاركة أفكاره وآرائه، ويُفضّل الاحتفاظ بكل شيء لنفسه.
EI	I_81-100	description	EI.I_81-100.dim.7	Does their best to avoid participating in conversations; when forced to engage, takes on the role of a listener only.	Всячески пытается избегать участия в разговорах; если всё-таки приходится участвовать, то выступает исключительно в роли слушателя.	Hace todo lo posible por evitar participar en conversaciones; cuando se ve obligado a hacerlo, adopta exclusivamente el papel de oyente.	Fait tout son possible pour éviter de prendre part aux conversations ; lorsqu'il y est contraint, il se cantonne exclusivement au rôle d'auditeur.	يبذل قصارى جهده لتجنب المشاركة في المحادثات، وحين يُضطر إلى ذلك يقتصر دوره على الاستماع فحسب.
EI	I_81-100	description	EI.I_81-100.dim.8	Avoids group brainstorming; during periods of reflection, disconnects completely from the outside world, and those around them often struggle to understand their need for solitude.	Избегает коллективных обдумываний; в периоды размышлений полностью отключается от мира, его окружение часто не понимает его желания оставаться наедине с собой.	Evita las sesiones de reflexión en grupo; durante los períodos de meditación, se desconecta por completo del mundo exterior, y quienes lo rodean a menudo no comprenden su necesidad de soledad.	Fuit les séances de réflexion collective ; pendant ses périodes de réflexion, il se coupe totalement du monde extérieur, et son entourage comprend souvent mal son besoin de solitude.	يتجنب جلسات التفكير الجماعي؛ وفي فترات التأمل ينفصل تماماً عن العالم الخارجي، وكثيراً ما يعجز المحيطون به عن فهم حاجته إلى الخلوة.
EI	I_81-100	description	EI.I_81-100.dim.9	Dislikes small talk, is skeptical of compliments, and has no tolerance for flattery.	Ненавидит пустую болтовню, не верит комплиментам, терпеть не может лесть.	Detesta la conversación trivial, desconfía de los cumplidos y no soporta la adulación.	Déteste les bavardages futiles, se méfie des compliments et ne supporte pas la flatterie.	يكره الثرثرة الفارغة، ولا يصدّق المجاملات، ولا يتحمل الإطراء والتملق.
SN		dimension-name	SN.dimName.0	Attention to detail	Отношение к деталям	Atención al detalle	Souci du détail	الاهتمام بالتفاصيل
SN		dimension-name	SN.dimName.1	Execution vs. reflection	Выполнение / обдумывание	Ejecución vs. reflexión	Exécution vs. réflexion	التنفيذ مقابل التفكير
SN		dimension-name	SN.dimName.2	Tactical vs. strategic tasks	Тактические / стратегические задачи	Tareas tácticas vs. estratégicas	Tâches tactiques vs. stratégiques	المهام التكتيكية مقابل الاستراتيجية
SN		dimension-name	SN.dimName.3	Quantity of tasks vs. quality of execution	Количество задач / качество выполнения	Cantidad de tareas vs. calidad de ejecución	Quantité de tâches vs. qualité d'exécution	كمية المهام مقابل جودة التنفيذ
SN		dimension-name	SN.dimName.4	Facts and figures vs. theories and ideas	Факты и цифры / Теории и идеи	Hechos y cifras vs. teorías e ideas	Faits et chiffres vs. théories et idées	الحقائق والأرقام مقابل النظريات والأفكار
SN		dimension-name	SN.dimName.5	Working with documents	Работа с документами	Trabajo con documentos	Travail avec les documents	العمل مع الوثائق
SN		dimension-name	SN.dimName.6	Follows instructions vs. free thinker	Действует по инструкциям / свободный художник	Sigue instrucciones vs. pensador independiente	Suit les instructions vs. esprit libre	يتبع التعليمات مقابل المفكر المستقل
SN		dimension-name	SN.dimName.7	Completing tasks as a whole vs. step by step	Выполнение задачи целиком или по деталям	Completar tareas en su totalidad vs. por partes	Réalisation des tâches en entier ou étape par étape	إنجاز المهمة كاملة أو خطوة بخطوة
SN		dimension-name	SN.dimName.8	Workplace organization	Порядок на рабочем месте	Organización del lugar de trabajo	Organisation du lieu de travail	تنظيم مكان العمل
SN		dimension-name	SN.dimName.9	Figurative vs. literal perception	Образное или буквальное восприятие	Percepción figurativa vs. literal	Perception figurative vs. littérale	الإدراك المجازي مقابل الحرفي
SN	S_81-100	band-label	SN.S_81-100.label	Extreme Sensor	Максимальный Сенсорик	Sensor Extremo	Sensitif Extrême	الحسي المتطرف
SN	S_81-100	description	SN.S_81-100.dim.0	Tends to overload answers and questions with excessive detail, often obscuring the main point.	Часто снабжает ответы и вопросы излишними деталями, из-за которых может быть не видно главного.	Tiende a sobrecargar respuestas y preguntas con detalles excesivos, lo que a menudo oculta el punto principal.	A tendance à surcharger ses réponses et questions de détails excessifs, ce qui obscurcit souvent l'essentiel.	يميل إلى إثقال إجاباته وأسئلته بتفاصيل مفرطة، مما يحجب الفكرة الرئيسية في الغالب.
SN	S_81-100	description	SN.S_81-100.dim.1	Jumps straight into a task without prior reflection, which can result in poor quality outcomes.	Получив задачу, приступает к выполнению без раздумий, что иногда приводит к некачественному выполнению.	Se lanza a realizar una tarea sin reflexión previa, lo que puede derivar en resultados de baja calidad.	Se lance dans une tâche sans réflexion préalable, ce qui peut mener à des résultats de mauvaise qualité.	يندفع إلى تنفيذ المهمة دون تفكير مسبق، مما قد يؤدي إلى نتائج رديئة الجودة.
SN	S_81-100	description	SN.S_81-100.dim.2	Only engages with tactical tasks and completely disregards anything strategic.	Интересны только тактические задачи, стратегические задачи полностью игнорирует.	Solo se involucra con tareas tácticas e ignora por completo cualquier aspecto estratégico.	Ne s'intéresse qu'aux tâches tactiques et ignore complètement tout ce qui est stratégique.	لا ينخرط إلا في المهام التكتيكية، ويتجاهل كليًا كل ما هو استراتيجي.
SN	S_81-100	description	SN.S_81-100.dim.3	Prioritizes completing more tasks faster rather than focusing on quality.	Стремится выполнить больше задач и быстрее, не стремится к качеству.	Prioriza completar más tareas en menos tiempo en lugar de centrarse en la calidad.	Privilégie l'exécution rapide d'un grand nombre de tâches plutôt que la qualité du travail.	يُقدّم إنجاز عدد أكبر من المهام بسرعة على حساب الجودة.
SN	S_81-100	description	SN.S_81-100.dim.4	Only interested in present-moment facts and figures; ideas, theories, and future planning hold no appeal.	Интересны только факты и цифры происходящего в моменте; идеи, теории, будущее не интересуют.	Solo le interesan los hechos y cifras del momento presente; las ideas, teorías y planificación futura no le atraen.	Ne s'intéresse qu'aux faits et chiffres du moment présent ; les idées, théories et projections futures ne l'attirent pas.	لا يهتم إلا بالحقائق والأرقام الآنية؛ إذ لا تستهويه الأفكار أو النظريات أو التخطيط للمستقبل.
SN	S_81-100	description	SN.S_81-100.dim.5	Overly meticulous when working with documents, often falling into perfectionism when drafting them.	При работе с документами излишне внимателен к деталям, при составлении документов уходит в перфекционизм.	Es excesivamente meticuloso al trabajar con documentos y cae en el perfeccionismo al redactarlos.	Fait preuve d'une minutie excessive dans le traitement des documents et tombe dans le perfectionnisme lors de leur rédaction.	يبدي دقة مفرطة عند التعامل مع الوثائق، وكثيرًا ما يغرق في الكمالية عند إعدادها.
SN	S_81-100	description	SN.S_81-100.dim.6	Will not take action without explicit instructions, rules, or clear directives.	Без инструкций, правил, чётких указаний действовать не будет.	No actúa sin instrucciones explícitas, reglas o directrices claras.	Refuse d'agir sans instructions explicites, règles ou directives claires.	لا يتصرف من دون تعليمات صريحة أو قواعد أو توجيهات واضحة.
SN	S_81-100	description	SN.S_81-100.dim.7	Becomes deeply absorbed in task details, frequently losing sight of the overall picture.	Глубоко погружается в детали задачи, часто теряя общее видение задачи.	Se sumerge profundamente en los detalles de una tarea, perdiendo con frecuencia la visión general.	S'immerge profondément dans les détails d'une tâche, perdant souvent de vue la vision d'ensemble.	يتعمق كثيرًا في تفاصيل المهمة، وكثيرًا ما يفقد الرؤية الشاملة لها.
SN	S_81-100	description	SN.S_81-100.dim.8	Maintains a near-fanatical dedication to order and tidiness in the workplace.	Фанатичное отношение к порядку на рабочем месте.	Mantiene una dedicación casi fanática al orden y la pulcritud en el lugar de trabajo.	Entretient une dévotion quasi fanatique pour l'ordre et la propreté sur son lieu de travail.	يُبدي التزامًا شبه متعصب بالنظام والترتيب في مكان العمل.
SN	S_81-100	description	SN.S_81-100.dim.9	Interprets everything in strictly literal terms, rejecting the possibility of alternative meanings.	Всё воспринимает исключительно буквально, отрицая, что может быть другой смысл.	Interpreta todo de manera estrictamente literal, rechazando la posibilidad de significados alternativos.	Interprète tout de manière strictement littérale, rejetant toute possibilité de sens alternatif.	يفسّر كل شيء بشكل حرفي صارم، رافضًا احتمال وجود أي معنى آخر.
SN	S_61-80	band-label	SN.S_61-80.label	Strong Sensor	Сильный Сенсорик	Sensor Fuerte	Sensitif Prononcé	حسّي قوي
SN	S_61-80	description	SN.S_61-80.dim.0	Often provides more detail than the question requires, going beyond what is needed.	Часто даёт более точный ответ, чем того требует вопрос, уходя в лишние детали.	Con frecuencia proporciona más detalles de los que la pregunta requiere, yendo más allá de lo necesario.	Fournit souvent plus de détails que la question ne l'exige, allant au-delà de ce qui est nécessaire.	كثيرًا ما يقدم تفاصيل أكثر مما يتطلبه السؤال، متجاوزًا الحد المطلوب.
SN	S_61-80	description	SN.S_61-80.dim.1	When given a task, tends to act on it immediately without always thinking it through first.	Получая задачу, старается сразу её выполнить, не всегда обдумывая.	Al recibir una tarea, tiende a ejecutarla de inmediato sin siempre reflexionar antes de actuar.	Lorsqu'il reçoit une tâche, a tendance à la réaliser immédiatement sans toujours prendre le temps de réfléchir.	عند تلقّي مهمة، يميل إلى تنفيذها فورًا دون التفكير فيها بعمق مسبقًا.
SN	S_61-80	description	SN.S_61-80.dim.2	Readily takes on tactical tasks, sometimes at the expense of strategic ones.	С удовольствием берётся за тактические задачи, иногда в ущерб стратегическим.	Asume con agrado tareas tácticas, a veces en detrimento de las estratégicas.	S'attaque volontiers aux tâches tactiques, parfois au détriment des tâches stratégiques.	يُقبل بحماس على المهام التكتيكية، أحيانًا على حساب المهام الاستراتيجية.
SN	S_61-80	description	SN.S_61-80.dim.3	Prioritizes the quantity of tasks completed over their quality.	Количество выполненных задач важнее качества.	Prioriza la cantidad de tareas completadas por encima de su calidad.	Privilégie la quantité de tâches accomplies au détriment de leur qualité.	يُقدّم كمية المهام المنجزة على حساب جودتها.
SN	S_61-80	description	SN.S_61-80.dim.4	More interested in facts and figures, sometimes at the expense of theories and ideas.	Факты и цифры интересны больше, иногда в ущерб теориям и идеям.	Se interesa más por los hechos y las cifras, a veces en detrimento de las teorías e ideas.	S'intéresse davantage aux faits et aux chiffres, parfois au détriment des théories et des idées.	يهتم بالحقائق والأرقام أكثر من اهتمامه بالنظريات والأفكار.
SN	S_61-80	description	SN.S_61-80.dim.5	When working with documents, tries to understand every point in detail, sometimes losing sight of the bigger picture.	При работе с документами пытается понять каждый пункт, иногда теряя общую картину.	Al trabajar con documentos, intenta comprender cada punto en detalle, perdiendo a veces la visión global.	Lors du traitement de documents, cherche à comprendre chaque point en détail, perdant parfois de vue la vue d'ensemble.	عند التعامل مع المستندات، يحاول فهم كل نقطة بالتفصيل، مما قد يجعله يفقد الرؤية الشاملة أحيانًا.
SN	S_61-80	description	SN.S_61-80.dim.6	When receiving a task, requires clear and detailed instructions.	При получении задачи требует чётких и детальных инструкций.	Al recibir una tarea, exige instrucciones claras y detalladas.	Lorsqu'il reçoit une tâche, exige des instructions claires et détaillées.	عند تلقّي مهمة، يطلب تعليمات واضحة ومفصّلة.
SN	S_61-80	description	SN.S_61-80.dim.7	When completing a task, becomes deeply absorbed in the details, sometimes losing sight of the overall objective.	При выполнении задачи глубоко погружается в детали, иногда теряя видение задачи.	Durante la ejecución de una tarea, se sumerge profundamente en los detalles, perdiendo a veces de vista el objetivo general.	Lors de l'exécution d'une tâche, s'immerge profondément dans les détails, perdant parfois de vue l'objectif global.	أثناء تنفيذ المهمة، يغوص بعمق في التفاصيل، مما قد يُفقده الرؤية العامة للهدف أحيانًا.
SN	S_61-80	description	SN.S_61-80.dim.8	Maintains a perfect order at their workspace and expects the same from colleagues.	Наводит идеальный порядок на своём рабочем месте и требует того же от коллег.	Mantiene un orden impecable en su lugar de trabajo y espera lo mismo de sus colegas.	Maintient un ordre parfait sur son espace de travail et attend la même chose de ses collègues.	يحرص على ترتيب مكان عمله بشكل مثالي ويتوقع الأمر ذاته من زملائه.
SN	S_61-80	description	SN.S_61-80.dim.9	Takes most things literally, including situations that may carry a deeper or figurative meaning.	Большую часть вещей воспринимает буквально, в том числе и те вещи, где может быть более глубокий смысл.	Interpreta la mayoría de las cosas de forma literal, incluso aquellas que pueden tener un significado más profundo.	Interprète la plupart des choses au sens littéral, y compris celles qui peuvent avoir une signification plus profonde.	يتعامل مع معظم الأمور بشكل حرفي، بما فيها تلك التي قد تحمل معنىً أعمق أو مجازيًا.
SN	S_41-60	band-label	SN.S_41-60.label	Pronounced Sensor	Выраженный Сенсорик	Sensor Pronunciado	Sensitif Prononcé	حسّي بارز
SN	S_41-60	description	SN.S_41-60.dim.0	Prefers precise answers to precise questions.	Предпочитает точные ответы на точные вопросы.	Prefiere respuestas precisas a preguntas concretas.	Préfère des réponses précises à des questions précises.	يفضّل الإجابات الدقيقة على الأسئلة المحددة.
SN	S_41-60	description	SN.S_41-60.dim.1	Focuses on present-moment tasks, favoring action over reflection.	Концентрируется на работе в моменте, предпочитая делать, а не думать.	Se concentra en las tareas del momento presente, prefiriendo la acción a la reflexión.	Se concentre sur les tâches du moment présent, privilégiant l'action à la réflexion.	يركّز على المهام الآنية، مؤثِرًا العمل على التفكير.
SN	S_41-60	description	SN.S_41-60.dim.2	Prefers short, tactical tasks with tangible outcomes.	Предпочитает короткие, тактические задачи с осязаемым результатом.	Prefiere tareas cortas y tácticas con resultados tangibles.	Préfère les tâches courtes et tactiques avec des résultats tangibles.	يفضّل المهام القصيرة والتكتيكية ذات النتائج الملموسة.
SN	S_41-60	description	SN.S_41-60.dim.3	Takes on many tasks and strives to complete them well, though the quality of some may suffer.	Берёт на себя много задач и старается их выполнить качественно; качество некоторых задач может страдать.	Asume muchas tareas y se esfuerza por completarlas bien, aunque la calidad de algunas puede verse afectada.	Prend en charge de nombreuses tâches et s'efforce de les accomplir correctement, bien que la qualité de certaines puisse en pâtir.	يأخذ على عاتقه مهام كثيرة ويسعى لإنجازها بجودة عالية، وإن كانت جودة بعضها قد تتأثر.
SN	S_41-60	description	SN.S_41-60.dim.4	Favors facts and figures over ideas and theories.	Факты и цифры предпочитает идеям и теориям.	Prefiere los hechos y las cifras a las ideas y las teorías.	Privilégie les faits et les chiffres aux idées et aux théories.	يُقدّم الحقائق والأرقام على الأفكار والنظريات.
SN	S_41-60	description	SN.S_41-60.dim.5	Reads documents from beginning to end.	Документы читает от начала и до конца.	Lee los documentos de principio a fin.	Lit les documents du début à la fin.	يقرأ الوثائق من البداية حتى النهاية.
SN	S_41-60	description	SN.S_41-60.dim.6	Becomes frustrated when clear instructions are not provided.	Недоволен, когда не получает чётких инструкций.	Se frustra cuando no recibe instrucciones claras.	Se sent frustré lorsqu'il ne reçoit pas d'instructions claires.	يشعر بعدم الارتياح حين لا يتلقى تعليمات واضحة.
SN	S_41-60	description	SN.S_41-60.dim.7	Grasps the details of a task more readily than the overall picture.	Детали задачи воспринимает лучше, чем задачу целиком.	Comprende mejor los detalles de una tarea que su conjunto.	Saisit mieux les détails d'une tâche que sa vue d'ensemble.	يستوعب تفاصيل المهمة بشكل أفضل من صورتها الكاملة.
SN	S_41-60	description	SN.S_41-60.dim.8	Dislikes clutter and disorder in the workspace.	Не любит беспорядок на рабочем месте.	No le gusta el desorden en el lugar de trabajo.	N'apprécie pas le désordre sur son lieu de travail.	لا يحبّ الفوضى وعدم الترتيب في مكان العمل.
SN	S_41-60	description	SN.S_41-60.dim.9	Tends to interpret everything literally.	Воспринимает всё буквально.	Tiende a interpretar todo de manera literal.	A tendance à tout interpréter au sens littéral.	يميل إلى تفسير كل شيء بشكل حرفي.
SN	S_21-40	band-label	SN.S_21-40.label	Moderate Sensor	Умеренный Сенсорик	Sensor Moderado	Sensitif Modéré	حسي معتدل
SN	S_21-40	description	SN.S_21-40.dim.0	When answering questions, tends to break responses down into clear points or bullet items.	Давая ответы на вопросы, часто дробит свой ответ на пункты.	Al responder preguntas, tiende a estructurar su respuesta en puntos o apartados claros.	Lorsqu'il répond à des questions, il a tendance à structurer sa réponse en points ou en sous-parties distinctes.	عند الإجابة على الأسئلة، يميل إلى تقسيم إجابته إلى نقاط أو عناصر واضحة ومحددة.
SN	S_21-40	description	SN.S_21-40.dim.1	Prefers to dive into tasks without spending too much time thinking them through beforehand.	Старается не затягивать выполнение задачи предварительным обдумыванием.	Prefiere comenzar las tareas sin dedicar demasiado tiempo a reflexionar sobre ellas con antelación.	Préfère se lancer dans les tâches sans passer trop de temps à les analyser au préalable.	يفضّل البدء في تنفيذ المهام دون قضاء وقت طويل في التفكير والتخطيط المسبق.
SN	S_21-40	description	SN.S_21-40.dim.2	Favors short-term tasks over long-term ones when given the choice.	Между короткими и длительными задачами предпочитает короткие.	Cuando tiene la opción, prefiere tareas cortas sobre tareas largas.	Lorsqu'il a le choix, préfère les tâches courtes aux tâches longues.	يختار المهام القصيرة على المهام الطويلة عند توفر الخيارين.
